ì˙ït,îMè¡îÔó [kcal],àÍì˙ÇÃëçÉKÉXégópó ,Å©ÇÃàÍÇ©åéä∑éZ,,,,
0:00:00,0,2456.314677,73689.44031,0,,308463997.1,0
0:30:00,0,,,0,MJ,308.4639971,0
1:00:00,0,,,0,,,0
1:30:00,0,,,0,,,0
2:00:00,0,,,0,,,0
2:30:00,0,,,0,,,0
3:00:00,0,,,0,,,0
3:30:00,0,,,0,,,0
4:00:00,0,,,0,,,0
4:30:00,0,,,0,,,0
5:00:00,0,,,0,,,0
5:30:00,0,,,0,,,0
6:00:00,20.934501,,,0.001947395,,,209.34501
6:30:00,192.597399,,,0.017916037,,,1925.97399
7:00:00,0,,,0,,,0
7:30:00,41.869002,,,0.003894791,,,418.69002
8:00:00,0,,,0,,,0
8:30:00,128.398269,,,0.011944025,,,1283.98269
9:00:00,0,,,0,,,0
9:30:00,0,,,0,,,0
10:00:00,0,,,0,,,0
10:30:00,0,,,0,,,0
11:00:00,0,,,0,,,0
11:30:00,0,,,0,,,0
12:00:00,0,,,0,,,0
12:30:00,0,,,0,,,0
13:00:00,0,,,0,,,0
13:30:00,0,,,0,,,0
14:00:00,0,,,0,,,0
14:30:00,0,,,0,,,0
15:00:00,0,,,0,,,0
15:30:00,0,,,0,,,0
16:00:00,0,,,0,,,0
16:30:00,0,,,0,,,0
17:00:00,0,,,0,,,0
17:30:00,855.523228,,,0.079583556,,,8555.23228
18:00:00,449.393933,,,0.041804087,,,4493.93933
18:30:00,0,,,0,,,0
19:00:00,361.469042,,,0.033625027,,,3614.69042
19:30:00,0,,,0,,,0
20:00:00,85.133635,,,0.007919408,,,851.33635
20:30:00,0,,,0,,,0
21:00:00,0,,,0,,,0
21:30:00,0,,,0,,,0
22:00:00,256.796534,,,0.02388805,,,2567.96534
22:30:00,64.199134,,,0.005972012,,,641.99134
23:00:00,0,,,0,,,0
23:30:00,0,,,0,,,0
